"1521
N4",給,Cấp,Cung cấp
,新緑,しんりょく,"màu xanh tươi của cây cỏ, lộc non"
,緑青,ろくしょう,màu xanh lục
"1532
N4",練,Luyện,Luyện tập
訓,（を）練る,（を）ねる,"gọt giũa (văn chương),
hoạch định (chiến lược), nhào trộn (bột)"
音： れん,練習,れんしゅう,luyện tập
,訓練,くんれん,"huấn luyện, đào tạo"
,試練,しれん,"sự thử thách, sự rèn giũa"
,未練,みれん,"sự tiếc nuối, sự quyến luyến"
"1533
N3",総,Tổng,Tổng thể
音： そう,総務,そうむ,"giám đốc, người quản lý"
,総会,そうかい,"cuộc tổng hội hợp, đại hội cổ đông"
,総合,そうごう,sự tổng hợp
,総計,そうけい,"tổng số, thống kê"
,総領事,そうりょうじ,tổng lãnh sự
"1534
N2",綿,Miên,Bông vải
訓,綿,わた,bông vải
音: めん,木綿,もめん,"bông, vải cotton"
,綿密,めんみつ,"cẩn thận, chi tiết, tỉ mỉ"
,綿花,めんか,bông xơ (giống cây bông gòn)
,綿糸,めんし,sợi bông
"1535
N2",維,Duy,Duy trì
音: い,維持,いじ,sự duy trì
,繊維,せんい,sợi
"1536
N2",網,Võng,Lưới
訓,網,あみ,"lưới, mạng lưới, hệ thống, tấm lưới"
音： もう,網羅,もうら,"bao gồm, bao phủ,
bao quanh, trọn gói"
,網膜,もうまく,võng mạc
,漁網,ぎょもう,lưới đánh cá
,交通網,こうつうもう,mạng lưới giao thông
"1537
N2",綱,Cương,Dây
訓,綱,つな,"dây thừng, dây chão"
,綱紀,こうき,"kỷ cương, luật lệ"
音： こう,綱領,こうりょう,"cương lĩnh, kế hoạch chung,
lý tưởng"
,大綱,たいこう,"phác thảo, những đặc tính chung"
,要綱,ようこう,"nguyên lý, cơ bản, trọng yếu"
"1538
N4",緒,Tự,Bắt đầu
訓,緒,お,dây (rốn)
音： しょ、ちょ,一緒,いっしょ,cùng nhau
,内緒,ないしょ,"riêng tư, bí mật,
cuộc sống gia đình"
,緒論,しょろん,"lời giới thiệu, lời mở đầu"
,情緒,じょうちょ,"sự cảm xúc, cảm nhận"
"1539
N2",綻,Trán,Nới lỏng mối chỉ
訓,（が）綻びる,（が）ほころびる,"rách, bung, hỏng, tuột"
音： たん,破綻,はたん,"sự mất hoàn toàn (tiếng tăm, danh dự),
vỡ nợ, phá sản"
"1540
N4",線,Tuyến,Đường dây
音： せん,線路,せんろ,"đường sắt, đường ray"
,下線,かせん,đường gạch dưới
,無線,むせん,"không dây, sóng vô tuyến, bộ đàm"
,電線,でんせん,dây dẫn điện
,回線,かいせん,"mạch, đường truyền"
154１ N3,編,Biên,"Biên tập, đan"
訓,（を）編む,（を）あむ,"đan, móc, biên tập"
音： へん,編集,へんしゅう,sự biên tập
,編成,へんせい,"sự hình thành, sự lập nên"
,再編,さいへん,"hỗ trợ, chu cấp (tiền),
chi trả (lương)"
,長編,ちょうへん,"tiểu thuyết (thơ, phim…) dài"
154２ N2,縁,Duyên,Duyên số
訓,縁,ふち,duyên nợ
音： えん,縁起,えんぎ,điềm báo
,無縁,むえん,"không có quan hệ, không có người thân"
,因縁,いんえん,"nhân duyên, cãi vã"
,血縁,けつえん,"cùng dòng máu, cùng nòi giống"
154３ N2,緩,Hoãn,Nới lỏng
訓,緩い,ゆるい,"lỏng lẻo, nhẹ nhõm, chậm rãi"
,緩やか（な）,ゆるやか（な）,"nhẹ nhàng, thoải mái"
,（を）緩める,（を）ゆるめる,"nới lỏng, làm chậm lại"
,（が）緩む,（が）ゆるむ,"lỏng lẻo, dịu lại,
chậm lại, nhẹ nhõm"
音： かん,緩和,かんわ,"sự hòa hoãn, bớt căn thẳng"
,緩慢,かんまん,"kéo dài, chậm chạp, lờ đờ"
154４ N3,緊,Khẩn,"Gấp, khẩn cấp"
音： きん,緊急,きんきゅう,"khẩn cấp, cấp bách"
,緊張,きんちょう,"căng thẳng, hồi hộp"
,緊密,きんみつ,"chặt chẽ, mật thiết, khăng khít"
,緊迫,きんぱく,"bức bách, cấp bách,
khẩn trương"
,緊要,きんよう,"trọng yếu, rất quan trọng,
sống còn"
154５ N3,締,Đế,Siết chặt
訓,（を）締める,（を）しめる,"buột chặt, vặn chặt, thắt"
,（が）締まる,（が）しまる,"vững chắc, chắc chắn, rắn chắc"
音： てい,締結,ていけつ,"ký kết, kết luận"
,締約,ていやく,kết luận (của) một hiệp ước
"1546
N2",縄,Thằng,"cản trở, gặp rắc rối,
dính dáng, liênquan"
訓,縄,なわ,"bị liên quan, dính líu,
bị rối (tóc, dây)"
音： じょう,捕縄,ほじょう,dây thừng của cảnh sát
"1547
N2",縦,Tung,Chiều dọc
訓,縦,たて,"chiều dọc, độ dài, độ cao"
音： じゅう,縦断,じゅうだん,sự cắt dọc
,縦横,じゅうおう,"dài và rộng, dọc và ngang,
ngang dọc"
,放縦,ほうじゅう,"phóng túng, bê tha"
,操縦,そうじゅう,"việc điều khiển, việc thao tác"
"1548
N2",緯,Vĩ,Vĩ tuyến
音： い,緯度,いど,"vĩ độ, tọa độ"
,緯線,いせん,"đường song song, vĩ tuyến"
,経緯,けいい,"đâu đuôi, ngọn ngành
(chi tiết của quá trình)"
,北緯,ほくい,vĩ độ Bắc
,南緯,なんい,vĩ độ Nam
"1549
N2",繁,Phồn,Phồn thịnh
音： はん,繁栄,はんえい,sự phồn vinh
,繁盛,はんじょう,sự phồn thịnh
,繁殖,はんしょく,"sự sinh sôi, sự phồn thực"
,繁忙,はんぼう,sự bận rộn
,頻繁,ひんぱん,sự tấp nập
"1550
N2",縛,Phược,Trói buộc
訓,（を）縛る,（を）しばる,"hạn chế, ràng buộc"
音： ばく,束縛,そくばく,"sự kiềm chế, sự giam cầm"
,呪縛,じゅばく,"nguyền rủa, phù phép"
,捕縛,ほばく,sự bắt giữ
,自縛,じばく,sự tự bạch
"1551
N2",縫,Phùng,May vá
訓,（を）縫う,（を）ぬう,"khâu vá, thêu, may mặc"
音： ほう,縫製,ほうせい,sự may vá
,縫合,ほうごう,"đường nối, đường khâu"
,裁縫,さいほう,"khâu vá, công việc khâu vá"
"1552
N2",緻,Trí,Kỹ càng
音： ち,緻密,ちみつ,"tinh tế, chính xác"
"1553
N3",績,Tích,Thành tích
音： せき,成績,せいせき,thành tích
,業績,ぎょうせき,thành tựu
,功績,こうせき,"công tích, công lao"
,実績,じっせき,"thành tích thực tế, thực thu"
,戦績,せんせき,chiến tích
"1554
N2",縮,Súc,"Rúc ngắn, co rút"
訓,（を）縮める,（を）ちぢめる,"thu gọn, nén lại"
,（が）縮まる,（が）ちぢまる,"bị thu gọn, rút ngắn, co lại"
,（が）縮む,（が）ちぢむ,"rút ngắn, thu nhỏ lại, co lại"
,（を）縮らす,（を）ちぢらす,"làm cho co lại, làm cho nhăn nheo,
uốn quăn"
,（が）縮れる,（が）ちぢれる,"nhàu nát, nhăn nhúm, xoăn,
héo úa (lá)"
音： しゅく,縮小,しゅくしょう,"sự co nhỏ, sự nén lại"
,短縮,たんしゅく,sự rút ngắn
,繊手,せんしゅ,bàn tay mảnh khảnh
,繊弱,せんじゃく,"yếu đuối, mỏng manh"
,化繊,かせん,sợi tổng hợp (chất liệu vải)
"1556
N2",織,Chức,Dệt vải
訓,（を）織る,（を）おる,dệt
,織布,しょくふ,vải dệt
音： しょく、しき,染織,せんしょく,nhuộm màu
,紡織,ぼうしょく,sự se chỉ và dệt
,組織,そしき,tổ chức
"1557
N2",繕,Tiện,"cương lĩnh, kế hoạch chung,
lý tưởng"
訓,（を）繕う,（を）つくろう,"sắp xếp gọn gàng, sạch sẽ,
chăm chút, vá"
音： ぜん,修繕,しゅうぜん,"sự chỉnh lý, sự sửa chữa"
,営繕,えいぜん,sửa chữa nâng cấp
"1558
N2",繭,Kiển,"riêng tư, bí mật,
cuộc sống gia đình"
訓,繭,まゆ,kén tằm
音： けん,繭糸,けんし,sợi tơ
,収繭,しゅうけん,tổ kén
"1560
N4",缶,Phẫu,"Lon, chai, lọ"
音： かん,缶詰め,かんづめ,"đồ hộp, lon"
,缶切り,かんきり,"dao mở nút chai, dao mở nắp"
,製缶,せいかん,có thể sản xuất
,汽缶,きかん,nồi đun nấu
,*薬缶,やかん,ấm đun nước
156１,罒,Bộ Võng,
156２ N4,置,Trí,Đặt để
訓,（を）置く,（を）おく,"bố trí (người), cho thuê chỗ ở,
chừa ra, đặt để"
音： ち,位置,いち,vị trí
,装置,そうち,"hỗ trợ, chu cấp (tiền),
chi trả (lương)"
,設置,せっち,"sự thành lập, sự thiết lập,
lắp đặt, bố trí"
,配置,はいち,"bố cục, sắp đặt"
156３ N3,罪,Tội,Tội lỗi
訓,罪,つみ,"tội ác, tội lỗi"
音： ざい,罪悪,ざいあく,tội ác
,無罪,むざい,vô tôi
,有罪,ゆうざい,có tội
,同罪,どうざい,đồng phạm
156４ N3,署,Thự,Công sở
音： しょ,署員,しょいん,"bố trí cán bộ thành viên, viên chức"
,部署,ぶしょ,cương vị
,公署,こうしょ,văn phòng chính phủ
,消防署,しょうぼうしょ,"cục phòng cháy, chữa cháy"
,警察署,けいさつしょ,sở cảnh sát
156５ N3,罰,Phạt,Hình phạt
音： ばつ,罰金,ばっきん,tiền phạt
,罰則,ばっそく,quy tắc xử phạt
,処罰,しょばつ,xử phạt
,刑罰,けいばつ,"hình phạt, sự trừng phạt"
"1566
N2",罷,Bãi,"Ngưng, rút"
音： ひ,罷工,ひこう,đình công
,罷免,ひめん,"sa thải, bãi nhiệm"
,罷官,ひかん,"trú đông, tính bi quan, chán ngán"
,罷業,ひぎょう,sự bãi công
"1567
N2",罵,Mạ,"cản trở, gặp rắc rối,
dính dáng, liênquan"
訓,（を）罵る,（を）ののしる,"bị liên quan, dính líu,
bị rối (tóc, dây)"
音： ば,罵言,ばげん,từ ngữ để nhục mạ
,罵声,ばせい,"la ó, cười nhạo"
,罵倒,ばとう,"nhục mạ, làm mất uy tín"
,悪罵,あくば,"sự nguyền rủa, sự phỉ báng"
"1568
N2",羅,La,"Lưới, lụa mỏng"
音： ら,羅漢,らかん,la hán
,羅列,られつ,"sự liệt kê, sự đếm"
,羅針,らしん,kim la bàn
,網羅,もうら,"bao gồm, bao phủ, bao quanh"
"1569
N4",羊,Dương,Con cừu
訓,羊,ひつじ,con cừu
音： よう,羊毛,ようもう,"len, lông cừu"
,羊肉,ようにく,thịt cừu
,牧羊,ぼくよう,sự chăn cừu
,*山羊,やぎ,con dê
15７０ N4,美,Mỹ,Đẹp
訓,美しい,うつくしい,"đẹp, ưa nhìn, có duyên"
音： び,美人,びじん,người đẹp
,美術,びじゅつ,mỹ thuật
,美容院,びよういん,"nơi làm đẹp, tiệm cắt tóc nữ"
,優美,ゆうび,"thiện mỹ, tao nhã, thanh lịch"
"15７1
N2",羞,Tu,Xấu hổ
音： しゅう,羞恥,しゅうち,"rụt rè, mắc cỡ"
,含羞,がんしゅう,"tính nhút nhát, tính bẽn lẽn, e thẹn"
"15７2
N5",着,Trước,"Đến, mặc áo"
訓,（を）着る,（を）きる,"mặc, khoác, ướm"
,（を）着せる,（を）きせる,"đổ (tội), mặc, khoác"
,（に）着く,（に）つく,"đến (địa điểm), vào (vị trí)"
音： ちゃく,着実,ちゃくじつ,"vững chắc, đáng tin cậy"
,決着,けっちゃく,quyết định
"15７3
N4",義,Nghĩa,Nghĩa vụ
音： ぎ,主義,しゅぎ,chủ nghĩa
,正義,せいぎ,chính nghĩa
,道義,どうぎ,đạo nghĩa
,大義,たいぎ,"lớn gây ra, pháp luật đạo đức, công lý"
,定義,ていぎ,định nghĩa
"15７4
N2",群,Quần,Bầy đàn
訓,群れ,むれ,bBầy đàn
,群れる,むれる,tụ tập
,（に／が）群がる,（に／が）むらがる,"kết thành đàn, tập hợp lại"
音： ぐん,群衆,ぐんしゅう,quần chúng
,群体,ぐんたい,"quần thể, thuộc địa (sinh vật học)"
"15７5
N2",羨,Tiện,Thèm muốn
訓,羨ましい,うらやましい,"ganh tỵ, thích, thèm muốn"
,（を）羨む,（を）うらやむ,đố kỵ
音： せん,羨望,せんぼう,"sự ganh tỵ, sự đố kỵ"
"15７6
N3",羽,Vũ,"Lông vũ, cánh"
,羽,はね／は,"lông vũ, cánh"
,,,
"15７7
N2",翁,Ông,Ông lão
音： おう,老翁,ろうおう,người đàn ông già cả
,不倒翁,ふとうおう,"con lật đật, người nhào lộn"
"15７8
N5",習,Tập,Học tập
訓,（を）習う,（を）ならう,học (từ một người khác)
音： しゅう,習得,しゅうとく,"cương lĩnh, kế hoạch chung,
lý tưởng"
,演習,えんしゅう,"diễn tập, luyện tập, thao diễn"
,予習,よしゅう,sự soạn bài
,自習,じしゅう,"tự ôn tập, tự mình học"
"15７9
N3",翌,Dực,Kế tiếp
,翌朝,よくあさ,sáng hôm sau
音： よく,翌日,よくじつ,"riêng tư, bí mật,
cuộc sống gia đình"
,翌週,よくしゅう,tuần sau
,翌月,よくげつ,tháng sau
,翌年,よくねん,năm sau
"15８0
N2",翼,Dực,Đôi cánh
訓,翼,つばさ,"đôi cánh, lá (lá đồng trong mô tơ)"
,両翼,りょうよく,hai cánh
15８１ N3,翻,Phiên,Phiên dịch
訓,（を）翻す,（を）ひるがえす,"lật trở lại, nhảy lên, thay đổi"
,（が）翻る,（が）ひるがえる,bay phất phới
音： ほん,翻訳,ほんやく,phiên dịch
,翻弄,ほんろう,"hỗ trợ, chu cấp (tiền),
chi trả (lương)"
,翻意,ほんい,sự thay đổi suy nghĩ
15８２,耂,Bộ Lão,
15８３ N5,考,Khảo,Tham khảo
訓,（を）考える,（を）かんがえる,"suy nghĩ, tưởng tượng, tưởng niệm"
,考え,かんがえ,"sự nghĩ, ý kiến, ý tưởng, dự định"
音： こう,考察,こうさつ,sự khảo sát
,参考,さんこう,tham khảo
,選考,せんこう,sự tuyển chọn
15８４ N3,老,Lão,"Già, suy yếu"
訓,老いる,おいる,già
,老ける,ふける,"già, già lão"
音： ろう,老人,ろうじん,"ông cụ, người già"
,老朽,ろうきゅう,tình trạng già yếu
,長老,ちょうろう,trưởng lão
15８５ N5,者,Giả,Người
訓,者,もの,"người, kẻ"
音： しゃ,記者,きしゃ,"kí giả, phóng viên, người viết báo"
,学者,がくしゃ,"học giả, hiền triết, nhà bác học"
,読者,どくしゃ,"bạn đọc, độc giả"
,忍者,にんじゃ,ninja của Nhật
"15８6
N2",耐,Nại,Chịu đựng
訓,（に）耐える,（に）たえる,"chịu đựng, tương xứng, thích hợp"
音： たい,耐久,たいきゅう,"sự chịu đựng, độ bền, lâu dài"
,耐性,たいせい,sự chống cự (tới kháng sinh)
,耐圧,たいあつ,"chịu nén, chịu sức ép"
,忍耐,にんたい,"sự nhẫn nại, sự chịu đựng"
15８7,耒,Bộ Lỗi,
"15８8
N2",耕,Canh,"bị liên quan, dính líu,
bị rối (tóc, dây)"
訓,（を）耕す,（を）たがやす,cày cấy
音： こう,耕作,こうさく,canh tác
,耕地,こうち,"đất canh tác, đất nông nghiệp"
,農耕,のうこう,công việc đồng án
,休耕,きゅうこう,"bỏ hoang, không canh tác"
"15８9
N2",耗,Hao,Tiêu hao
音： もう,消耗,しょうもう,"hao hụt, rơi vãi"
,摩耗,まもう,"sự mài mòn (máy móc, dụng cụ)"
,損耗,そんもう,"sự thua lỗ, sự mất"
,減耗,げんもう,"hao hụt, suy đồi, hao mòn"
,衰耗,すいもう,làm yếu đi và suy sụp
"1590
N5",耳,Nhĩ,Tai
訓,耳,みみ,cái tai
音： じ,耳目,じもく,"sự để ý, tai mắt (của ai), trợ thủ"
,耳鼻科,じびか,khoa tai mũi họng
,内耳,ないじ,màng nhĩ
,中耳炎,ちゅうじえん,bệnh viêm tai giữa
"1591
N2",聖,Thánh,Thần thánh
音： せい,聖火,せいか,"lửa thần thánh, ngọn đuốt"
,聖書,せいしょ,kinh thánh
,聖地,せいち,thánh địa
,聖母,せいぼ,thánh mẫu
,神聖,しんせい,"thần thánh, linh thiêng"
"1592
N5",聞,Văn,"Nghe, hỏi"
訓,（を／に）聞く,（を／に）きく,"nghe, hỏi"
,（が）聞こえる,（が）きこえる,nghe thấy
音： ぶん、もん,見聞,けんぶん,"dò hỏi, tầm hiểu biết, thông tin"
,伝聞,でんぶん,"tin đồn, tiếng đồn, phóng sự"
,聴聞,ちょうもん,"sự nghe, lắng nghe ý kiến"
"1593
N3",聴,Thính,Nghe
訓,（を）聴く,（を）きく,"nghe, lắng nghe"
音： ちょう,聴解,ちょうかい,sự nghe hiểu
,聴覚,ちょうかく,thính giác
,聴診器,ちょうしんき,ống nghe
,視聴者,しちょうしゃ,người xem truyền hình
"1594
N3",職,Chức,Nghề nghiệp
音： しょく,職員室,しょくいんしつ,phòng làm việc
,職業,しょくぎょう,"nghề, nghề nghiệp"
,辞職,じしょく,từ chức
,就職,しゅうしょく,tìm việc làm
,退職,たいしょく,sự nghỉ việc
1595,聿,Bộ Duật,
"1596
N2",粛,Túc,Nghiêm kính
音： しゅく,粛正,しゅくせい,"sự quy định,
sự cưỡng bức phải tuân theo"
,粛然,しゅくぜん,"sự yên lặng, yên tĩnh, nghiêm túc"
,自粛,じしゅく,"sự kiểm soát, hạn chế"
,厳粛,げんしゅく,nghiêm trang
,静粛,せいしゅく,"yên lặng, tĩnh lặng"
"1597
N5",肉,Nhục,Thịt
音： にく,肉類,にくるい,loại thịt
,肉体,にくたい,"cơ thể, thân thể"
,肉眼,にくがん,"mắt thường, con mắt thiển cận"
,肉声,にくせい,giọng thật
,肉食,にくしょく,sự ăn thịt
音： き,肌骨,きこつ,da và xương
,肌膚,きふ,bóc vỏ
"1600
N2",肝,Can,Lá gan
訓,肝,きも,lá gan
音： かん,肝臓,かんぞう,"gan, lá gan"
,肝心,かんじん,"chủ yếu, rất quan trọng,"
,,,
,肝炎,かんえん,bệnh viêm gan
,肝要,かんよう,"cương lĩnh, kế hoạch chung,
lý tưởng"
