"1761
N5",要,Yếu,Cần thiết
音： ふ,訃報,ふほう,"cáo phó, báo tin buồn"
"1778
N5",記,Ký,"Ghi, nhật ký"
訓,（を）記す,（を）しるす,"ghi vào, khắc ghi"
音： き,記事,きじ,bài báo
,記載,きさい,ghi chép
,日記,にっき,nhật ký
,伝記,でんき,truyền ký
"1779
N3",訓,Huấn,Huấn luyện
音： くん、きん,訓告,くんこく,cảnh cáo
,訓令,くんれい,"chỉ thị, mệnh lệnh"
,教訓,きょうくん,giáo huấn
,特訓,とっくん,huấn luyện đặc biệt
,家訓,かくん,gia pháp
"1780
N2",討,Thảo,Thảo luận
訓,（を）討つ,（を）うつ,"công kích, thảo phạt"
音： とう,討議,とうぎ,thảo luận
,討伐,とうばつ,"thảo phạt, công kích"
,討論,とうろん,thảo luận
,検討,けんとう,"nghiên cứu, xem xét"
178１ N2,託,Thác,Ủy thác
音： たく,委託,いたく,"nhờ ai làm thay, ủy quyền"
,信託,しんたく,ủy quyền tài sản
,請託,せいたく,"nài nỉ, nhờ cậy"
,預託,よたく,tạm thời giao tiền cho ai đó giữ
,屈託,くったく,"bồn chồn, lo âu, chán nản"
178２ N4,許,Hứa,"Tha thứ, cho phép"
訓,（を）許す,（を）ゆるす,"tha thứ, cho phép"
音： きょ,許可,きょか,sự cho phép
,許容,きょよう,sự tha thứ
,許諾,きょだく,chấp nhận (chuyện ngoại lệ)
,聴許,ちょうきょ,lắng nghe rồi cho phép
178３ N3,設,Thiết,Thiết lập
訓,（を）設ける,（を）もうける,"sắp xếp, xây dựng, thiết lập"
音： せつ,設備,せつび,"trang thiết bị, lắp đặt trang thiết bị"
,設立,せつりつ,thành lập
,施設,しせつ,"cơ sở hạ tầng, cơ sở trang thiết bị"
,建設,けんせつ,"xây dựng ( tòa nhà, tổ chức)"
178４ N3,訪,Phỏng,Thăm hỏi
訓,（を）訪ねる,（を）たずねる,"viếng thăm (địa điểm, người)"
,（を）訪れる,（を）おとずれる,viếng thăm địa điểm
,（が）訪れる,（を）おとずれる,"(mùa xuân, cơ hội) đến"
音： ほう,来訪,らいほう,đến thăm
,再訪,さいほう,viếng thăm lại
,探訪,たんぼう,điều tra xã hội
178５ N4,訳,Dịch,Phiên dịch
訓,訳,わけ,"ý nghĩa, lý do, sự tình"
,（を）訳す,（を）やくす,dịch
音： やく,訳者,やくしゃ,dịch giả
,訳文,やくぶん,câu văn đã được dịch
,通訳,つうやく,thông dịch
"1786
N2",訟,Tụng,Kiện tụng
音： しょう,訴訟,そしょう,"kiện tụng, kiện cáo"
,争訟,そうしょう,tranh tụng
"1787
N5",証,Chứng,Chứng cứ
音： しょう,証明,しょうめい,chứng minh
,証券,しょうけん,chứng khoán
,証言,しょうげん,lời làm chứng
,証人,しょうにん,người làm chứng
,検証,けんしょう,kiểm chứng
"1788
N3",評,Bình,Bình luận
音： ひょう,評論,ひょうろん,bình luận
,評価,ひょうか,"đánh giá, phê bình của chuyên gia"
,評議,ひょうぎ,"hội đàm, bàn bạc"
,評判,ひょうばん,"phản ứng, nhận xét của dư luận"
,好評,こうひょう,đánh giá tốt
"1789
N3",詞,Từ,Lời văn
音： し,動詞,どうし,động từ
,名詞,めいし,danh từ
,形容詞,けいようし,tính từ
,副詞,ふくし,phó từ
,歌詞,かし,ca từ
"1790
N2",訴,Tố,"Tố cáo, than phiền"
訓,（を）訴える,（を）うったえる,"tố cáo, than phiền, khiếu nại"
音： そ,起訴,きそ,khởi kiện
,控訴,こうそ,kháng án
,提訴,ていそ,"khiếu nại, theo kiện"
,勝訴,しょうそ,thắng kiện
"1791
N2",詠,Vịnh,Ngâm thơ
訓,（を）詠む,（を）よむ,ngâm thơ
音： えい,詠歌,えいか,"làm thơ ca, ngâm ca, bài cầu kinh"
,詠草,えいそう,bản thảo bài thơ ca
,,,
,朗詠,ろうえい,ngâm thơ
,吟詠,ぎんえい,ngâm thơ
"1792
N2",詐,Trá,Lừa dối
音： さ,詐取,さしゅ,lừa gạt lấy tiền
,詐称,さしょう,cố tình viết sai thông tin
,詐術,さじゅつ,thủ đoạn lừa gạt
"1793
N2",詔,Chiếu,Lệnh vua
訓,詔,もことのり,chiếu chỉ
音： しょう,詔書,しょうしょ,chiếu thư
,詔勅,しょうちょく,lời nói của thiên hoàng
,大詔,たいしょう,sắc lệnh quan trọng của thiên hoàng
"1794
N3",診,Chẩn,Chẩn bệnh
訓,（を）診る,（を）みる,khám bệnh
音： しん,診断,しんだん,"chuẩn đoán, khám bệnh"
,診察,しんさつ,khám bệnh
,初診,しょしん,khám bệnh lần đầu
,再診,さいしん,tái khám
"1795
N5",話,Thoại,Đàm thoại
訓,話,はなし,câu chuyện
,（を）話す,（を）はなす,nói chuyện
音： わ,話題,わだい,chủ đề câu chuyện
,対話,たいわ,đối thoại
,会話,かいわ,hội thoại
"1796
N2",詩,Thi,Thơ
音： し,詩歌,しか,thơ ca
,詩句,しく,câu thơ
,詩作,しさく,sáng tác thơ
,詩人,しじん,nhà thơ
,詩集,ししゅう,tập thơ
"1797
N5",試,Thí,"Thử, nếm"
訓,（を）試す,（を）ためす,xác nhận thử
,（を）試みる,（を）こころみる,làm thử
訓,誠に,まことに,chân thành
音： せい,誠実,せいじつ,thành thật
,誠意,せいい,thành ý
,誠心,せいしん,thành tâm
,丹誠,たんせい,"thành tâm, hết lòng"
"1799
N4",詰,Cật,"Dồn, nhét"
訓,（が）詰む,（が）つむ,"vải mịn, hết đường đi, bế tắc"
,（を）詰める,（を）つめる,"dồn, nhét, lấp, thu ngắn lại, tiết kiệm"
,（が）詰まる,（が）つまる,"bị dồn, tắc nghẽn, ngắn lại, bế tắc"
音： きつ,詰問,きつもん,tra hỏi
"1800
N2",誇,Khoa,Tự hào
訓,誇り,ほこり,niềm tự hào
,（を）誇る,（を）ほこる,"tự hào, hãnh diện"
音： こ,誇張,こちょう,"khoa trương, nói quá lên"
,誇大,こだい,phóng đại (quá sự thực)
,誇示,こじ,khoe khoang
180１ N4,詳,Tường,Tường tận
訓,詳しい,くわしい,"cụ thể, chi tiết"
音： しょう,詳報,しょうほう,báo cáo chi tiết
,詳述,しょうじゅつ,tường thuật chi tiết
,詳解,しょうかい,giải thích chi tiết
,未詳,みしょう,"chưa rõ ràng, chưa cụ thể"
180２ N2,誉,Dự,Danh dự
訓,誉れ,ほまれ,"danh dự, thanh danh"
音： よ,名誉,めいよ,danh dự
,栄誉,えいよ,vinh dự
,毀誉,きよ,khen chê
,声誉,せいよ,"nhận xét tốt, thanh danh"
180３ N2,該,Cai,"Bao quát, thích hợp"
音： がい,該当,がいとう,"phù hợp, thích hợp"
,該博,がいはく,hiểu biết rộng
180４ N2,詣,Nghệ,"Đi chùa, đền đầu năm"
訓,（に）詣でる,（に）もうでる,"viếng đền, viếng chùa, viếng mộ"
音： けい,参詣,さんけい,"viếng đền, viếng chùa"
,造詣,ぞうけい,"uyên bác, uyên thâm, thông thái"
180５ N2,詮,Thuyên,Suy cho cùng
音： せん,詮議,せんぎ,"cùng bàn bạc,hỏi cung"
,詮索,せんさく,"tra hỏi, truy vấn đến cùng"
"1806
N5",語,Ngữ,"Ngôn ngữ, kể"
訓,（を）語る,（を）かたる,kể chuyện
,（を）語らう,（を）かたらう,"tâm sự, bộc bạch"
音： ご,言語,げんご,ngôn ngữ
,落語,らくご,hài độc thoại
,用語,ようご,thuật ngữ
"1807
N5",読,Độc,Đọc
訓,（を）読む,（を）よむ,đọc
音： どく、とく、とう,音読,おんどく,đọc thành tiếng
,読者,どくしゃ,độc giả
,読本,とくほん,"sách giáo khoa, sách giải thích"
,句読法,くとうほう,cách sử dụng dấu chấm câu
"1808
N5",説,Thuyết,Thuyết phục
訓,（を）説く,（を）とく,giảng giải đạo lý
音： せつ、ぜつ,説明,せつめい,giải thích
,小説,しょうせつ,tiểu thuyết
,解説,かいせつ,giải thích cách làm
,演説,えんぜつ,diễn thuyết
"1809
N3",誤,Ngộ,Hiểu lầm
訓,（を）誤る,（を）あやまる,"làm sai, nhầm"
音： ご,誤解,ごかい,hiểu nhầm
,誤算,ごさん,tính toán nhầm
,誤認,ごにん,ngộ nhận
,過誤,かご,"sai sót, sai lầm"
"1810
N5",誌,Chí,Tạp chí
音： し,誌面,しめん,trang tạp chí
,墓誌,ぼし,văn bia
,本誌,ほんし,phần chính của quyển tạp chí
,日誌,にっし,sổ nhật ký
,雑誌,ざっし,Tạp chí
"1811
N4",認,Nhận,Công nhận
訓,（を）認める,（を）みとめる,"công nhận, chấp nhận"
音： にん,認識,にんしき,nhận thức
,認定,にんてい,nhận định
,公認,こうにん,công nhận
,確認,かくにん,xác nhận
"1812
N4",誘,Dụ,Rủ rê
訓,（を）誘う,（を）さそう,"rủ rê, mời"
,誘惑,ゆうわく,"cám dỗ, gạ gẫm, lôi cuốn"
音： ゆう,誘導,ゆうどう,"dìu dắt, chỉ đạo"
,誘致,ゆうち,"mời đến, dụ đến"
,誘引,ゆういん,"dẫn dụ, rủ rê, lôi kéo"
"1813
N2",誓,Thệ,Thề ước
訓,（を）誓う,（を）ちかう,thề ước
音： せい,誓約,せいやく,"cam kết, giao kèo"
,誓願,せいがん,lời thề nguyện
,誓言,せいげん（せいごん）,"câu thề, lời thề"
,宣誓,せんせい,tuyên thệ
"1814
N4",談,Đàm,Đàm thoại
音： だん,談話,だんわ,"đàm thoại, nói chuyện"
,怪談,かいだん,"truyện kinh dị, truyện ma"
,商談,しょうだん,đàm phán thương mại
,懇談,こんだん,trò chuyện thân mật
,対談,たいだん,đối thoại
"1815
N4",調,Điều,Điều tra
訓,（を）調べる,（を）しらべる,"điều tra, tìm hiểu"
,（を）調える,（を）ととのえる,"chuẩn bị, điều chỉnh"
,（が）調う,（を）ととのう,"được sẵn sàng, được thống nhất"
音： ちょう,調和,ちょうわ,điều hòa
,強調,きょうちょう,"cường điệu, nhấn mạnh"
"1816
N4",課,Khóa,Bài học
音： か,課題,かだい,vấn đề lớn
,課長,かちょう,trưởng ban
,課程,かてい,"chương trình học, nội dung"
,課外,かがい,ngoài chương trình học
,放課,ほうか,kết thúc buổi học
"1817
N3",諸,Chư,"Các, tất cả"
音： しょ,諸国,しょこく,các nước
,諸藩,しょはん,"các phiên, các lãnh địa"
,諸君,しょくん,"mọi người, các bạn"
,虚誕,きょたん,"hư cấu, bịa đặt"
,再誕,さいたん,tái sinh
,荒誕,こうたん,lời lẽ vô lý
,,,
"1819
N4",論,Luận,Luận văn
音： ろん,論議,ろんぎ,nghị luận
,論証,ろんしょう,luận chứng
,反論,はんろん,phản luận
,異論,いろん,"ý kiến đối lập, ý kiến phản đối"
,理論,りろん,lý luận
"1820
N3",請,Thỉnh,Thình cầu
訓,（を）請う,（を）こう,"đề nghị, xin, thỉnh cầu"
,（を）請ける,（を）うける,tiếp nhận công việc
音： せい、しん,要請,ようせい,"yêu cầu, kêu gọi"
,申請,しんせい,"đề nghị, yêu cầu"
,普請,ふしん,"trùng tu, tu bổ"
182１ N2,諾,Nặc,Ưng thuận
音： だく,受諾,じゅだく,chấp hành
,承諾,しょうだく,"chấp thuận, chấp nhận"
,応諾,おうだく,"ưng thuận, chấp nhận"
,快諾,かいだく,vui vẻ chấp nhận
,然諾,ぜんだく,"đồng ý làm, chấp nhận làm"
182２ N2,謁,Yết,Ra mắt
音： えつ,謁見,えっけん,gặp mặt người cao quý
,拝謁,はいえつ,"ra mắt, gặp mặt(khiêm nhường)"
,請謁,せいえつ,"xin gặp mặt, muốn nhờ vả"
182３ N3,誰,Thùy,Ai
訓,誰,だれ,ai?
音： すい,誰何,すいか,"tra hỏi, chặn lại"
182４ N2,謡,Dao,Bài hát
訓,（を）謡う,（を）うたう,hát
音： よう,謡曲,ようきょく,ca khúc dân ca
,歌謡,かよう,ca dao
,民謡,みんよう,dân ca
,童謡,どうよう,bài hát thiếu nhi
182５ N2,諮,"Tư, Ty",Hỏi ý
訓,（を）諮る,（を）はかる,hỏi ý kiến
音： し,諮問,しもん,"hỏi ý kiến, xin ý kiến"
,諮議,しぎ,"tham khảo, hỏi ý kiến cấp dưới"
"1826
N2",謀,Mưu,Âm mưu
訓,（を）謀る,（を）はかる,"tính kế lừa, lập ý đồ"
音： ぼう,謀殺,ぼうさつ,lập kế hoạch sát hại người khác
,無謀,むぼう,"không tính toán kỹ, khinh suất"
,陰謀,いんぼう,âm mưu
,参謀,さんぼう,lập kế hoạch cho tổ chức
"1827
N2",諭,Dụ,Rầy la
訓,（と）諭す,（と）さとす,"dạy bảo, rầy la"
音： ゆ,諭告,ゆこく,cảnh cáo
,教諭,きょうゆ,giáo viên chính
,勅諭,ちょくゆ,mệnh lệnh của thiên hoàng
,説諭,せつゆ,"giáo huấn, giảng gải về lý lẽ"
"1828
N2",諧,Hài,Hài hòa
音： かい,諧調,かいちょう,giai điệu hài hòa
,諧和,かいわ,"đồng điệu, cùng nhịp điệu"
,諧声,かいせい,âm điệu hài hòa
"1829
N3",諦,Đế,Từ bỏ
訓,（を）諦める,（を）あきらめる,từ bỏ
音： てい,諦観,ていかん,thấy rõ được bản chất
,諦念,ていねん,giác ngộ được
"1830
N4",講,Giảng,Giảng bài
音： こう,講師,こうし,giảng viên
,講演,こうえん,diễn thuyết trước đám đông
,講義,こうぎ,bài giảng
,講習,こうしゅう,buổi tập trung học tập
,補講,ほこう,buổi học ngoại khóa
"1831
N4",謝,Tạ,"Tạ lỗi, tạ ơn"
訓,（に）謝る,（に）あやまる,xin lỗi
音： しゃ,謝罪,しゃざい,tạ lỗi
,謝礼,しゃれい,"quà cảm ơn, lời nói cảm ơn"
,感謝,かんしゃ,cảm ơn
,慰謝,いしゃ,bồi thưởng tổn hại về tinh thần
"1832
N2",謹,Cẩn,Cung kính
訓,（を）謹む,（を）つつしむ,cung kính
音： きん,謹慎,きんしん,"khép nép, không được ra khỏi nhà"
,謹厳,きんげん,nghiêm nghị
,謹呈,きんてい,"kính tặng, kính biếu"
,謹直,きんちょく,ngay thẳng
"1833
N3",謙,Khiêm,Khiêm tốn
音： けん,謙譲語,けんじょうご,khiêm nhường ngữ
,謙虚,けんきょ,khiêm tốn
,謙称,けんしょう,cách xưng hô khiêm nhường
,謙抑,けんよく,nhún nhường
,恭謙,きょうけん,cung kính
"1834
N2",謄,Đằng,Sao chép
音： とう,謄本,とうほん,bản sao chép lại
,謄写,とうしゃ,"chép sang tờ giấy khác, pho to"
"1835
N2",謎,Mê,Bí ẩn
訓,謎,なぞ,điều bí ẩn
"1836
N3",識,Thức,Nhận thức
音： しき,識者,しきしゃ,người có nhiều kiến thức
,識別,しきべつ,phân biệt
,知識,ちしき,tri thức
,学識,がくしき,học thức
,常識,じょうしき,thường thức
"1837
N4",警,Cảnh,Khuyến cáo
音： けい,警察,けいさつ,cảnh sát
,警報,けいほう,cảnh báo
,警告,けいこく,cảnh cáo
,楽譜,がくふ,nhạc phổ
,系譜,けいふ,bản ghi lại hệ thống các đời trong họ
,年譜,ねんぷ,bản ghi lại cuộc đời mình qua các năm
,音譜,おんぷ,nhạc phổ
"1839
N4",議,Nghị,Hội nghị
音： ぎ,議員,ぎいん,nghị sĩ
,議長,ぎちょう,chủ tịch
,協議,きょうぎ,cuộc họp quyết định phương hướng
,決議,けつぎ,"nghiị quyết, quyết định sau cuộc họp"
,論議,ろんぎ,nghị luận
"1840
N3",護,Hộ,Bảo vệ
音： ご,護衛,ごえい,hô vệ
,護送,ごそう,hô tống
,保護,ほご,bảo vệ
,援護,えんご,"trợ giúp, hỗ trợ"
,愛護,あいご,"bảo vệ, chăm sóc"
